book
"the great transition, nick fuller googins"
"conan the avenger, robert e. howard"
"love rules, freya north"
"the hypnotist's love story, liane moriarty"
"claimed by the elven king, cristina rayne"
"peace talks, jim butcher"
"alpha, jasinda wilder"
"house infernal, edward lee"
"freedom's price, suzanne brockmann"
"a will and a way, nora roberts"
"kiss of a demon king, kresley cole"
"city of the beasts, isabel allende"
"obsession, helen hardt"
"goodnight june, sarah jio"
"the abortion, richard brautigan"
"breaking point, suzanne brockmann"
"unraveled, k. bromberg"
"jacinto's remnant, karen traviss"
"captive, jex lane"
"last chance book club, hope ramsay"
"escaping destiny, amelia hutchins"
"the sea of trolls, nancy farmer"
"ttfn, lauren myracle"
"thirteenth child, patricia c. wrede"
"twice upon a marigold, jean ferris"
"the bitten, l.a. banks"
"d'aulaires' book of greek myths, ingri d'aulaire"
"restoring grace, katie fforde"
"blood of amber, roger zelazny"
"blindsided, jami davenport"
"in this moment, karen kingsbury"
"beasts and bffs, shannon delany"
"to sail a darkling sea, john ringo"
"a single man, christopher isherwood"
"always ever after, claire kingsley"
"before i go, colleen oakley"
"back on blossom street, debbie macomber"
"witch and wizard, james patterson"
"honor thy teacher, teresa mummert"
"the demon headmaster, gillian cross"
"the visitor, christopher pike"
"the mist, stephen king"
"the visible world, mark slouka"
"dark lycan, christine feehan"
"go-go girls of the apocalypse, victor gischler"
"love stage!! 5, eiki eiki"
"blue exorcist, tome 2, kazue kato"
"a wallflower christmas, lisa kleypas"
"animales fantásticos y dónde encontrarlos, newt scamander"
"the persecution of mildred dunlap, paulette mahurin"
"paths not taken, simon r. green"
"the song of david, amy harmon"
"many bloody returns, charlaine harris"
"the wolves of midwinter, anne rice"
"city of glass, cassandra clare"
"besieged, kevin hearne"
"meddling kids, edgar cantero"
"my hero academia, vol. 2, kohei horikoshi"
"breathe, annie, breathe, miranda kenneally"
"die nachtigall, kristin hannah"
"lost, sarah prineas"
"from rags, suzanne wright"
"paper girls, volume 4, brian k. vaughan"
"easy charm, kristen proby"
"the spirit thief, rachel aaron"
"what i saw and how i lied, judy blundell"
"hikaru no go, vol. 3, yumi hotta"
"black obsidian, victoria quinn"
"saga, volume 8, brian k. vaughan"
"come back to me, sara foster"
"slouch witch, helen harper"
"sebastian, anne bishop"
"the kaiju preservation society, john scalzi"
"navigators of dune, brian herbert"
"just ella, margaret peterson haddix"
"the nine lives of chloe king, celia thomson"
"hidden hope, amy patrick"
"for love and honor, jody hedlund"
"stinger, mia sheridan"
"thorn queen, richelle mead"
"life of the party, olivia gatwood"
"the silver siren, chanda hahn"
"the temple of my familiar, alice walker"
"my clarity, m. clarke"
"the girl who knew too much, amanda quick"
"seeking crystal, joss stirling"
"the names they gave us, emery lord"
"if he's sinful, hannah howell"
"pushing the limits, katie mcgarry"
"rift, andrea cremer"
"perfect ruin, lauren destefano"
"always time to die, elizabeth lowell"
"a march of kings, morgan rice"
"trouble makes a comeback, stephanie tromly"
"chasing impossible, katie mcgarry"
"the farthest shore, ursula k. le guin"
"fast connection, megan erickson"
"ceremony in death, j.d. robb"
"untamed, elizabeth lowell"
"clockwork prince, cassandra clare"
"prophecy of the sisters, michelle zink"
"the last kids on earth and the zombie parade, max brallier"
"monstress, volume 2, marjorie m. liu"
"all in, susan hayes"
"fatal destiny, marie force"
"a beauty so rare, tamera alexander"
"kitchen, banana yoshimoto"
"love show, audrey bell"
"the house of a thousand lanterns, victoria holt"
"nightflyers, george r.r. martin"
"on the beach, nevil shute"
"crewel lye, piers anthony"
"dragon wing, margaret weis"
"lone women, victor lavalle"
"out of control, shannon mckenna"
"plus one, elizabeth fama"
"princess sonora and the long sleep, gail carson levine"
"the outlandish companion, diana gabaldon"
"sex symbol, laurelin paige"
"khan, conn iggulden"
"houston, we have a problem, erin mccarthy"
"hildafolk, luke pearson"
"pregnant by the greek tycoon, kim lawrence"
"finding rebecca, eoin dempsey"
"z, therese anne fowler"
"timeline, michael crichton"
"breakfast in bed, sandra brown"
"the akhenaten adventure, p.b. kerr"
"the broken kingdoms, n.k. jemisin"
"how to murder a millionaire, zara keane"
"preacher, volume 4, garth ennis"
"fruits basket, vol. 10, natsuki takaya"
"annie's rainbow, fern michaels"
"her rebel heart, jamie farrell"
"m is for magic, neil gaiman"
"the marvels, brian selznick"
"half bad, sally green"
"the spanish groom, lynne graham"
"gwendy's final task, stephen king"
"harrow the ninth, tamsyn muir"
"crystal line, anne mccaffrey"
"whiplash, catherine coulter"
"as old as time, liz braswell"
"infinity welcomes careful drivers, grant naylor"
"fearless fourteen, janet evanovich"
"the rising, kelley armstrong"
"undaunted, mike shepherd"
"rory's proposal, lynda renham"
"twice the witch, danielle garrett"
"awful auntie, david walliams"
"light, michael grant"
"the system of the world, neal stephenson"
"the rose of sebastopol, katharine mcmahon"
"must love dogs, claire cook"
"daughters unto devils, amy lukavics"
"the black prism, brent weeks"
"champagne toast, melissa brown"
"the girl with the make-believe husband, julia quinn"
"heartless, sara shepard"
"real good man, meghan march"
"black wave, michelle tea"
"darkness rising, keri arthur"
"naruto, vol. 1, masashi kishimoto"
"mermaid moon, colleen coble"
"the queen and the cure, amy harmon"
"mystic city, theo lawrence"
"the captive, victoria holt"
"transmetropolitan, vol. 9, warren ellis"
"lord of darkness, elizabeth hoyt"
"once and always, judith mcnaught"
"made for you, lauren layne"
"the girl at the lion d'or, sebastian faulks"
"stanton adore, t.l. swan"
"unwritten, charles martin"
"the name of the star, maureen johnson"
"księga cmentarna, neil gaiman"
"die weiße rose, amy ewing"
"the darkest seduction, gena showalter"
"one year after, william r. forstchen"
"house of roots and ruin, erin a. craig"
"tethered wings, cameo renae"
"fiancé on paper, nicole snow"
"chiedi alla polvere, john fante"
"the other side of the story, marian keyes"
"i'm starting to worry about this black box of doom, jason pargin"
"pippi goes on board, astrid lindgren"
"quinn, iris johansen"
"end of days, susan ee"
"the 26-storey treehouse, andy griffiths"
"plum lucky, janet evanovich"
"a merciful secret, kendra elliot"
"saving the sun dragon, tracey west"
"hollow city, ransom riggs"
"marked, elisabeth naughton"
"i do, leddy harper"
"with everything i am, kristen ashley"
"bunny, mona awad"
"captured, erica stevens"
"the ballroom class, lucy dillon"
"my mad fat diary, rae earl"
"the darkest angel, gena showalter"
"thresh, jasinda wilder"
"the rogue hunter, lynsay sands"
"death at peony house, krista walsh"
"a wrinkle in time trilogy, madeleine l'engle"
"sisterhood of the traveling pants, ann brashares"
"tall, dark & hungry, lynsay sands"
"within the sanctuary of wings, marie brennan"
"nevada, imogen binnie"
"the simulacra, philip k. dick"
"waldo and magic, inc, robert a. heinlein"
"barbarian's redemption, ruby dixon"
"midnight whispers, v.c. andrews"
"finn fancy necromancy, randy henderson"
"a fire in the flesh, jennifer l. armentrout"
"death in the floating city, tasha alexander"
"l'insostenibile leggerezza dell'essere, milan kundera"
"the inexplicable logic of my life, benjamin alire sáenz"
"quentins, maeve binchy"
"keepsake, sarina bowen"
"fighting for flight, j.b. salsbury"
"blue exorcist, vol. 1, kazue kato"
"an amish christmas, cynthia keller"
"ramona, helen hunt jackson"
"honor's splendour, julie garwood"
"the red garden, alice hoffman"
"caraval, stephanie garber"
"dark sky, mike brooks"
"consider phlebas, iain m. banks"
"one week girlfriend, monica murphy"
"the foretelling, alice hoffman"
"intermezzo, sally rooney"
"five feet apart, rachael lippincott"
"softly and tenderly, sara evans"
"fanny hill, or memoirs of a woman of pleasure, john cleland"
"petty pewter gods, glen cook"
"goodbye to berlin, christopher isherwood"
"rescue me, rachel gibson"
"oath of gold, elizabeth moon"
"ruin, rachel van dyken"
"kamikaze kaito jeanne, vol. 1, arina tanemura"
"the zahir, paulo coelho"
"the stories of eva luna, isabel allende"
"stranger things happen, kelly link"
"el gran gatsby, f. scott fitzgerald"
"city of masks, mary hoffman"
"the road to the dark tower, bev vincent"
"darker after midnight, lara adrian"
"full throttle, joe hill"
"queer (in)justice, joey l. mogul"
"vicious, victoria schwab"
"moonlight in odessa, janet skeslien charles"
"hot finish, erin mccarthy"
"miss hickory, carolyn sherwin bailey"
"the odyssey, geraldine mccaughrean"
"the rage of dragons, evan winter"
"el retrato de dorian gray, oscar wilde"
"highland storms, christina courtenay"
"the mistress, tiffany reisz"
"loyalty in death, j.d. robb"
"sins of the demon, diana rowland"
"stay with me, alexandria house"
"a half forgotten song, katherine webb"
"bread alone, judi hendricks"
"the dark volume, gordon dahlquist"
"por un beso, julia quinn"
"the penultimate peril, lemony snicket"
"duty, lauren landish"
"alas, babylon, pat frank"
"overwatch, blizzard entertainment"
"sex criminals #3, matt fraction"
"cape refuge, terri blackstock"
"all rights reserved, gregory scott katsoulis"
"codename, naoko takeuchi"
"shame on me, tara sivec"
"beat, vi keeland"
"one, jewel e. ann"
"after the rain, jo watson"
"lord john and the hand of devils, diana gabaldon"
"mine till midnight, lisa kleypas"
"night whispers, judith mcnaught"
"the republic of wine, mo yan"
"at first sight, nicholas sparks"
"assassin's fate, robin hobb"
"small pleasures, clare chambers"
"the loveliest chocolate shop in paris, jenny colgan"
"shame, salman rushdie"
"the curse of the kings, victoria holt"
"flame in the dark, faith hunter"
"half wild, sally green"
"gabriel's woman, robin schone"
"a queen of thieves & chaos, k.a. tucker"
"curran, gordon andrews"
"prior bad acts, tami hoag"
"blackberry winter, sarah jio"
"the lost heir, tui t. sutherland"
"night shift, lilith saintcrow"
"version control, dexter palmer"
"nil, lynne matson"
"the lais of marie de france, marie de france"
"the demon king, cinda williams chima"
"the jewel of st. petersburg, kate furnivall"
"sleeping with fear, kay hooper"
"beauty and sadness, yasunari kawabata"
"clean sweep, ilona andrews"
"et après ..., guillaume musso"
"tech support, jet mykles"
"yellowfang's secret, erin hunter"
"one for the money, jeaniene frost"
"dark companion, marta acosta"
"bleach, volume 19, tite kubo"
"cinderellis and the glass hill, gail carson levine"
"origins, l.j. smith"
"the tender stranger, diana palmer"
"amor de perdição, camilo castelo branco"
"zero k, don delillo"
"macrieve, kresley cole"
"chain of gold, cassandra clare"
"down to my soul, kennedy ryan"
"the world of robert jordan's the wheel of time, robert jordan"
"legion, dan abnett"
"welcoming seas, lily harper hart"
"a sweet sting of salt, rose sutherland"
"driven, k. bromberg"
"mexican gothic, silvia moreno-garcia"
"berserk, vol. 6, kentaro miura"
"the dark side, laura baumbach"
"shattered mirror, amelia atwater-rhodes"
"pest control, bill fitzhugh"
"make me sin, j.t. geissinger"
"the hollow kingdom, clare b. dunkle"
"earth bound, christine feehan"
"how to be a normal person, t.j. klune"
"rome, jay crownover"
"the secret of platform 13, eva ibbotson"
"amped, daniel h. wilson"
"the custom of the army, diana gabaldon"
"the isle of illusion, emily rodda"
"the state we're in, adele parks"
"royally endowed, emma chase"
"the lust lizard of melancholy cove, christopher moore"
"breakwater, anthony j. melchiorri"
"max, james patterson"
"counting down with you, tashie bhuiyan"
"the last guardian, eoin colfer"
"dissolution, richard lee byers"
"what's a girl gotta do?, holly bourne"
"beneath these lies, meghan march"
"wednesdays in the tower, jessica day george"
"blood rites, quinn loftis"
"fangirl, rainbow rowell"
"forever in blue, ann brashares"
"cyteen, c.j. cherryh"
"gata blanca, holly black"
"oona out of order, margarita montimore"
"a trip to the stars, nicholas christopher"
"creep from the deep, r.l. stine"
"his proposed deal, sandi lynn"
"the marriage trap, jennifer probst"
"web of the romulans, m.s. murdock"
"equal rites, terry pratchett"
"the forever of ella and micha, jessica sorensen"
"the apprentice's quest, erin hunter"
"the letter for the king, tonke dragt"
"the rose and the thorn, michael j. sullivan"
"the man who japed, philip k. dick"
"reunion in death, j.d. robb"
"house of blades, will wight"
"the ordinary princess, m.m. kaye"
"mister romance, leisa rayven"
"unite me, tahereh mafi"
"i kill giants, joe kelly"
"half asleep in frog pajamas, tom robbins"
"crown of vengeance, mercedes lackey"
"georgette heyer's regency world, jennifer kloester"
"revival, stephen king"
"last seen after midnight, budjette tan"
"mind games, kiersten white"
"divine by blood, p.c. cast"
"fixed forever, laurelin paige"
"winds of salem, melissa de la cruz"
"macroscope, piers anthony"
"thanksgiving, janet evanovich"
"delinquent daddy, linda kage"
"pleasure, eric jerome dickey"
"bite me!, melissa francis"
"the hen who dreamed she could fly, sun-mi hwang"
"the house of thunder, dean koontz"
"bad kitty, michele jaffe"
"sophomore year is greek to me, meredith zeitlin"
"the anomaly, michael rutger"
"logan's search, william f. nolan"
"this night so dark, amie kaufman"
"bones & all, camille deangelis"
"a fierce and subtle poison, samantha mabry"
"unseemly science, rod duncan"
"hot blooded, christine feehan"
"fires of winter, johanna lindsey"
"the half-life of hannah, nick alexander"
"i say a little prayer, e. lynn harris"
"the lioness of morocco, julia drosten"
"the lake of souls, darren shan"
"the darkest lie, gena showalter"
"london, frank tayell"
"the mad ship, robin hobb"
"the prisoner’s throne, holly black"
"tristessa, jack kerouac"
"invincible summer, alice adams"
"the war of the dwarves, markus heitz"
"lara, anna pasternak"
"the time keeper, mitch albom"
"rapture untamed, pamela palmer"
"finding eden, mia sheridan"
"beyond the shadows, brent weeks"
"bridget jones's diary and bridget jones, helen fielding"
"fullmetal alchemist, vol. 24, hiromu arakawa"
"the lost sisterhood, anne fortier"
"best served cold, joe abercrombie"
"the kraken wakes, john wyndham"
"century rain, alastair reynolds"
"the wayfarer redemption, sara douglass"
"born in fire, k.f. breene"
"nightingale's lament, simon r. green"
"imprudent lady, joan smith"
"mary poppins, p.l. travers"
